,id_distribuidor_linea_de_credito,monto_autorizado,tasa_minima,grupo_riesgo,riesgo,tasa_ponderada,perdida_ponderada,id_distribuidor,importe_depositado,marginal,perdida_cosecha_canasta
3047,169241,10000,127,Canasta 7,7,136.00000160000064,0.0,169852,51632.0,9792.592307692306,5.243910975948551
3048,169251,10000,115,Canasta 6,6,147.0,0.0,169841,69552.69,5923.948846153846,3.977055692691484
3049,169520,10000,132,Canasta 8,8,142.0,0.0,169841,69552.69,5923.948846153846,5.828371587611391
3050,169289,10000,90,Canasta 1,1,136.2105462604823,0.0,169833,47632.0,1793.1338461538458,0.5981846460466533
3051,169290,10000,90,Canasta 1,1,143.92307840236802,0.0,169833,47632.0,1793.1338461538458,0.5981846460466533
3052,169291,10000,90,Canasta 1,1,136.28571020408552,0.0,169833,47632.0,1793.1338461538458,0.5981846460466533
3053,169435,10000,90,Canasta 1,1,142.0,0.0,169833,47632.0,1793.1338461538458,0.5981846460466533
3054,169441,10000,90,Canasta 1,1,143.92307840236802,0.0,169833,47632.0,1793.1338461538458,0.5981846460466533
3055,169305,10000,110,Canasta 5,5,142.0,0.0,169956,49248.0,1838.9113846153846,3.374105053076616
3056,169313,10000,127,Canasta 7,7,170.34637314090378,0.0,169956,49248.0,1838.9113846153846,5.243910975948551
3057,169439,10000,110,Canasta 5,5,142.0,0.0,169956,49248.0,1838.9113846153846,3.374105053076616
3058,169637,10000,110,Canasta 5,5,142.0,0.0,169956,49248.0,1838.9113846153846,3.374105053076616
3059,169640,10000,110,Canasta 4,4,142.0,0.0,169956,49248.0,1838.9113846153846,3.1160502391921283
3060,169315,10000,127,Canasta 7,7,131.5654169697465,0.0,170814,126400.0,6154.047692307693,5.243910975948551
3061,169411,10000,147,Canasta 9,9,125.83970036194096,0.0,170814,126400.0,6154.047692307693,7.900051906317038
3062,169332,10000,110,Canasta 4,4,135.8095328798402,0.0,169890,315072.0,17495.917692307703,3.1160502391921283
3063,169333,10000,110,Canasta 4,4,136.00000160000064,0.0,169890,315072.0,17495.917692307703,3.1160502391921283
3064,169346,0,0,Canasta 10,10,142.00000000000003,0.0,173020,52672.0,4887.45,11.22693992153604
3065,169355,10000,147,Canasta 9,9,142.00000000000003,0.0,173020,52672.0,4887.45,7.900051906317038
3066,169466,10000,115,Canasta 6,6,161.5629130370807,0.0,170207,50544.0,9432.864615384611,3.977055692691484
3067,169529,10000,110,Canasta 4,4,154.12717034978158,0.0,170339,59136.0,2737.6096153846156,3.1160502391921283
3068,169647,10000,115,Canasta 6,6,152.08189898231032,0.0,170339,59136.0,2737.6096153846156,3.977055692691484
3069,169648,10000,127,Canasta 7,7,144.50000833330554,0.0,170339,59136.0,2737.6096153846156,5.243910975948551
