,id_distribuidor,ID ASOCIADO,CAPITAL AUTORIZADO,TASA AUTORIZADA,RECUPERADO,NO RECUPERADO,CERRADO,P COSECHA,grupo_riesgo_quilum,grupo_riesgo_quash,tasa_sugerida_quilum,tasa_sugerida_quash,perdida_cosecha_esperada_quilum,perdida_cosecha_esperada_quash
1318,164567,165387,10000,142,10000.0,0.0,SI,0.0,8,,0,,7.48,
1319,165141,165408,10000,142,10000.0,0.0,SI,0.0,2,,95,,1.63,
1320,165157,165551,15000,85,15000.0,0.0,SI,0.0,9,,0,,13.17,
1321,165169,165550,10000,80,10000.0,0.0,SI,0.0,9,,0,,13.17,
1322,165247,165549,8000,95,8000.0,0.0,SI,0.0,9,,0,,15.2,
1323,165240,165553,8000,80,8000.0,0.0,SI,0.0,7,,147,,5.77,
1324,165298,165543,10000,142,10000.0,0.0,SI,0.0,9,,0,,15.2,
1325,165333,165548,7000,142,7000.0,0.0,SI,0.0,8,,0,,13.17,
1326,165334,165526,10000,142,10000.0,0.0,SI,0.0,7,,142,,5.77,
1327,165171,165552,8000,90,8000.0,0.0,SI,0.0,9,,0,,13.17,
1328,165332,165539,5000,147,5000.0,0.0,SI,0.0,6,,127,,3.76,
1329,165336,165527,8000,142,8000.0,0.0,SI,0.0,4,,110,,1.89,
1330,165338,165528,7000,142,7000.0,0.0,SI,0.0,10,,0,,17.35,
1331,165340,165524,7000,142,7000.0,0.0,SI,0.0,10,,0,,17.35,
1332,165463,165538,10000,142,10000.0,0.0,SI,0.0,9,,0,,15.2,
1333,165249,165682,5000,147,3552.3484736464625,1447.6515263535373,SI,28.953030527070744,7,,147,,5.77,
1334,165046,165934,6000,142,6000.0,0.0,SI,0.0,10,,0,,17.35,
1335,165554,165706,6000,142,6000.0,0.0,SI,0.0,10,,0,,17.35,
1336,165149,165935,8000,142,8000.0,0.0,SI,0.0,10,,0,,17.35,
1337,163071,165937,6000,142,6000.0,0.0,SI,0.0,9,,0,,15.2,
1338,165047,165938,6000,142,6000.0,0.0,SI,0.0,8,,0,,13.17,
1339,165237,165708,10000,110,10000.0,0.0,SI,0.0,5,,112,,3.19,
1340,165150,165710,8000,110,8000.0,0.0,SI,0.0,8,,0,,7.48,
1341,165152,165709,10000,110,10000.0,0.0,SI,0.0,4,,110,,1.89,
1342,165370,165936,6000,142,6000.0,0.0,SI,0.0,9,,0,,15.2,
1343,165225,165713,8000,137,8000.0,0.0,SI,0.0,2,,100,,1.63,
1344,165452,165711,5000,137,5000.0,0.0,SI,0.0,5,,132,,3.19,
1345,165511,165712,8000,142,8000.0,0.0,SI,0.0,3,,0,,1.84,
1346,165167,165782,10000,142,10000.0,0.0,SI,0.0,8,,0,,7.48,
1347,165366,165755,8000,85,8000.0,0.0,SI,0.0,2,,105,,1.84,
1348,165372,165756,8000,85,8000.0,0.0,SI,0.0,6,,127,,3.19,
1349,165373,165758,8000,85,8000.0,0.0,SI,0.0,6,,127,,3.76,
1350,165427,165757,8000,85,8000.0,0.0,SI,0.0,5,,112,,3.19,
1351,165555,165759,8000,142,8000.0,0.0,SI,0.0,3,,100,,1.84,
1352,165428,165851,5000,147,5000.0,0.0,SI,0.0,9,,0,,13.17,
1353,165432,165850,6000,142,6000.0,0.0,SI,0.0,1,,100,,1.63,
1354,164317,166182,5000,147,5000.0,0.0,SI,0.0,4,,110,,1.89,
1355,163826,166184,5000,147,5000.0,0.0,SI,0.0,4,,110,,1.89,
1356,164943,166045,8000,142,5768.8424490861435,2231.1575509138565,SI,27.889469386423205,5,,112,,1.89,
1357,164944,166043,8000,142,5768.8424490861435,2231.1575509138565,SI,27.889469386423205,2,,95,,1.63,
1358,164945,166044,6000,142,4326.631836814608,1673.3681631853922,SI,27.889469386423205,10,,0,,17.35,
1359,164980,166183,5000,147,5000.0,0.0,SI,0.0,6,,137,,3.76,
1360,165164,166046,8000,142,5768.8424490861435,2231.1575509138565,SI,27.889469386423205,1,,100,,1.63,
1361,165422,166047,8000,142,5768.8424490861435,2231.1575509138565,SI,27.889469386423205,1,,100,,1.63,
1362,163825,166185,5000,147,5000.0,0.0,SI,0.0,3,,115,,1.89,
1363,165832,166344,5000,85,5000.0,0.0,SI,0.0,4,,115,,1.89,
1364,165849,166341,7000,142,7000.0,0.0,SI,0.0,1,,100,,1.63,
1365,165834,166343,5000,85,5000.0,0.0,SI,0.0,7,,142,,5.77,
1366,162963,166622,7000,142,7000.0,0.0,SI,0.0,8,,0,,7.48,
