id_distribuidor,monto_autorizado,tasa_minima,probabilidad,grupo_riesgo
159507,0,0,0.4840632379,Canasta 1
159509,0,0,0.1083842516,Canasta 1
159510,0,0,0.0961229876,Canasta 1
159513,10000,142,0.8910767436,Canasta 4
159515,0,0,0.7079902291,Canasta 2
159517,0,0,0.569119513,Canasta 2
159518,0,0,0.5495673418,Canasta 2
159525,0,0,0.6247979403,Canasta 2
159527,0,0,0.1814182103,Canasta 1
159529,0,0,0.3464102149,Canasta 1
159547,0,0,0.5996086597,Canasta 2
159549,0,0,0.482724458,Canasta 1
159557,0,0,0.5223798156,Canasta 2
159558,9000,147,0.8382184505,Canasta 3
159561,0,0,0.8231877685,Canasta 3
159563,0,0,0.5998519659,Canasta 2
159579,10000,142,0.9318470359,Canasta 4
159582,10000,142,0.9614002109,Canasta 5
159584,0,0,0.4510072172,Canasta 1
159585,10000,127,0.9684485197,Canasta 6
159598,10000,142,0.88390553,Canasta 4
159599,0,0,0.7211914659,Canasta 2
159606,0,0,0.111865364,Canasta 1
159607,10000,142,0.8713100553,Canasta 4
159668,0,0,0.4622695744,Canasta 1
159670,0,0,0.5874906182,Canasta 2
159673,10000,142,0.8892288804,Canasta 4
159674,0,0,0.4611733556,Canasta 1
159675,10000,147,0.8268027306,Canasta 3
159679,0,0,0.5721052885,Canasta 2
159680,0,0,0.1976451129,Canasta 1
159682,0,0,0.1469211876,Canasta 1
159717,0,0,0.2591750324,Canasta 1
159720,0,0,0.6050370932,Canasta 2
159744,0,0,0.314571768,Canasta 1
159745,0,0,0.4926708341,Canasta 1
159747,0,0,0.6736530662,Canasta 2
159748,0,0,0.5120144486,Canasta 2
159749,10000,142,0.8519048095,Canasta 4
159750,0,0,0.2311191708,Canasta 1
159769,0,0,0.5912418365,Canasta 2
159772,0,0,0.9342437387,Canasta 4
159791,0,0,0.2910130322,Canasta 1
159797,0,0,0.6854593158,Canasta 2
159820,0,0,0.1283406913,Canasta 1
159821,0,0,0.3751224279,Canasta 1
159822,0,0,0.5976356268,Canasta 2
159828,0,0,0.6852722168,Canasta 2
159832,0,0,0.4229229093,Canasta 1
159833,0,0,0.0360802524,Canasta 1
159834,0,0,0.2133432329,Canasta 1
159835,0,0,0.237117067,Canasta 1
159837,10000,142,0.8789728284,Canasta 4
159838,0,0,0.3047127724,Canasta 1
159870,0,0,0.6237676144,Canasta 2
