APPLICANT_ID,INGRESO_MENSUAL,GASTOS_FAMILIARES,OTROS_INGRESOS,INGRESO_NETO,DEPENDIENTES,VENTAS,EDAD,MONTO_MENSUAL_VENTA,COMPRAS,DELEGACION,DELEGACION_NEGOCIO,ESCOLARIDAD,ESTADO,ESTADO_CIVIL,ESTADO_NEGOCIO,SEXO,SUCURSAL,TIPO_NEGOCIO,TIPO_VIVIENDA
162852,4000,1600,5370,17300,1,2500,49,10000,1500,TLAJOMULCO_DE_ZUNIGA,TLAJOMULCO_DE_ZUNIGA,SECUNDARIA,JALISCO,UNION LIBRE,JALISCO,FEMENINO,TONALA,CALZADO_REPARACION_Y_VENTA,PROPIA
159769,12404,1400,3600,12404,0,3000,55,12000,1500,IZTAPALAPA,IZTAPALAPA,SECUNDARIA,DISTRITO_FEDERAL,UNION LIBRE,DISTRITO_FEDERAL,FEMENINO,IZTAPALAPA,BELLEZA/SALON/ESTETICA/BARBERIA,FAMILIAR
160834,7840,1110,0,7840,0,3600,58,14400,1570,CENTRO,CENTRO,SECUNDARIA,TABASCO,UNION LIBRE,TABASCO,FEMENINO,VILLAHERMOSA,VENTA_DE_ALIMENTOS,FAMILIAR
161089,17624,650,1200,17624,0,7000,34,28000,1200,CHICOLOAPAN,CHICOLOAPAN,BACHILLERATO,MEXICO,SOLTERO,MEXICO,FEMENINO,CHIMALHUACAN_2,VENTA_DE_ALIMENTOS,FAMILIAR
161091,9304,500,600,9304,0,3800,58,15200,850,CHIMALHUACAN,CHIMALHUACAN,BACHILLERATO,MEXICO,VIUDO,MEXICO,FEMENINO,CHIMALHUACAN_2,VENTA_DE_ROPA,PROPIA
161567,10216,500,600,10216,0,4000,21,16000,900,CHIMALHUACAN,CHICOLOAPAN,SECUNDARIA,MEXICO,SOLTERO,MEXICO,FEMENINO,CHIMALHUACAN_2,VENTA_DE_ROPA,FAMILIAR
161590,15616,700,500,15616,0,5500,42,22000,750,CHIMALHUACAN,CHICOLOAPAN,SECUNDARIA,MEXICO,SOLTERO,MEXICO,FEMENINO,CHIMALHUACAN_2,VENTA_DE_ROPA,OTRO
162638,7044,1500,1500,7044,2,5000,36,20000,2000,CHICOLOAPAN,CHICOLOAPAN,BACHILLERATO,MEXICO,SOLTERO,MEXICO,FEMENINO,CHIMALHUACAN_2,VENTA_DE_ROPA,PROPIA
162646,3436,1200,1080,3436,1,2500,35,10000,900,MILPA_ALTA,MILPA_ALTA,SECUNDARIA,DISTRITO_FEDERAL,SOLTERO,DISTRITO_FEDERAL,MASCULINO,MILPA_ALTA,ABARROTES/MISCELANEAS/PERECEDEROS,FAMILIAR
162772,7280,1250,1800,7280,1,3800,32,15200,1800,IZTAPALAPA,IZTAPALAPA,SECUNDARIA,DISTRITO_FEDERAL,SOLTERO,DISTRITO_FEDERAL,FEMENINO,IZTAPALAPA,VENTA_DE_ALIMENTOS,FAMILIAR
162774,7080,1150,1800,7080,0,4000,66,16000,2000,IZTAPALAPA,IZTAPALAPA,PRIMARIA,DISTRITO_FEDERAL,UNION LIBRE,DISTRITO_FEDERAL,FEMENINO,IZTAPALAPA,VENTA_DE_ALIMENTOS,PROPIA
162797,7908,600,2000,7908,0,3000,38,12000,1000,CHICOLOAPAN,CHICOLOAPAN,BACHILLERATO,MEXICO,UNION LIBRE,MEXICO,FEMENINO,CHIMALHUACAN_2,TLAPALERIA/FERRETERIA/MATERIALES_DE_CONSTRUCCION,FAMILIAR
162863,9960,1300,2700,9960,2,2700,31,10800,1000,IZTAPALAPA,IZTAPALAPA,BACHILLERATO,DISTRITO_FEDERAL,SEPARADO,DISTRITO_FEDERAL,FEMENINO,IZTAPALAPA,VENTA_DE_ALIMENTOS,FAMILIAR
162886,6760,1250,1250,6760,1,3500,24,14000,1200,IZTAPALAPA,IZTAPALAPA,BACHILLERATO,DISTRITO_FEDERAL,UNION LIBRE,DISTRITO_FEDERAL,FEMENINO,IZTAPALAPA,BELLEZA/SALON/ESTETICA/BARBERIA,FAMILIAR
162624,7710,1987,4000,7710,3,1800,32,7200,900,MILPA_ALTA,MILPA_ALTA,BACHILLERATO,DISTRITO_FEDERAL,UNION LIBRE,DISTRITO_FEDERAL,FEMENINO,MILPA_ALTA,VENTA_DE_ROPA,RENTADA
162642,4920,1900,3800,4920,0,1850,65,7400,1500,MILPA_ALTA,MILPA_ALTA,BACHILLERATO,DISTRITO_FEDERAL,VIUDO,DISTRITO_FEDERAL,FEMENINO,MILPA_ALTA,JOYERIA/BISUTERIA/FUNDICION,PROPIA
162647,3428,1600,2000,3428,1,3000,46,12000,2000,MILPA_ALTA,MILPA_ALTA,BACHILLERATO,DISTRITO_FEDERAL,SOLTERO,DISTRITO_FEDERAL,FEMENINO,MILPA_ALTA,JOYERIA/BISUTERIA/FUNDICION,FAMILIAR
162189,12800,1200,2500,12800,3,4000,31,16000,1000,JUCHITEPEC,JUCHITEPEC,SECUNDARIA,MEXICO,CASADO,MEXICO,FEMENINO,AMECAMECA,VENTA_DE_ALIMENTOS,PROPIA
162208,12800,1400,2500,12800,5,6000,38,24000,2000,JUCHITEPEC,JUCHITEPEC,TECNICO,MEXICO,UNION LIBRE,MEXICO,FEMENINO,AMECAMECA,VENTA_DE_ALIMENTOS,FAMILIAR
162508,11600,1400,2000,11600,3,4000,34,16000,1500,JUCHITEPEC,JUCHITEPEC,SECUNDARIA,MEXICO,UNION LIBRE,MEXICO,MASCULINO,AMECAMECA,VENTA_DE_ALIMENTOS,PROPIA
162513,9200,900,2000,9200,2,1500,31,6000,300,JUCHITEPEC,JUCHITEPEC,SECUNDARIA,MEXICO,UNION LIBRE,MEXICO,FEMENINO,AMECAMECA,FRUTAS/VERDURAS/SEMILLAS/CAMPO/AGROPECUARIAS,FAMILIAR
162519,10040,600,1800,10040,0,3000,49,12000,1000,JUCHITEPEC,JUCHITEPEC,PRIMARIA,MEXICO,VIUDO,MEXICO,FEMENINO,AMECAMECA,VENTA_DE_ROPA,FAMILIAR
162534,4600,200,500,4600,0,2000,20,8000,700,JUCHITEPEC,JUCHITEPEC,BACHILLERATO,MEXICO,SOLTERO,MEXICO,FEMENINO,AMECAMECA,VENTA_DE_ALIMENTOS,FAMILIAR
162614,8468,800,0,8468,0,8000,51,32000,4000,CHICOLOAPAN,CHICOLOAPAN,TECNICO,MEXICO,VIUDO,MEXICO,MASCULINO,CHIMALHUACAN_2,MECANICA_AUTOMOTRIZ/INDUSTRIAL,PROPIA
162615,4460,1000,1500,4460,0,6000,47,24000,2000,CHICOLOAPAN,CHICOLOAPAN,SECUNDARIA,MEXICO,UNION LIBRE,MEXICO,FEMENINO,CHIMALHUACAN_2,VENTA_DE_ROPA,PROPIA
162618,8648,1000,2000,8648,0,5000,71,2000,2000,CHICOLOAPAN,CHICOLOAPAN,SECUNDARIA,MEXICO,CASADO,MEXICO,FEMENINO,CHIMALHUACAN_2,VENTA_DE_ROPA,PROPIA
162648,4100,1475,2650,4100,1,1600,40,6400,1000,MILPA_ALTA,MILPA_ALTA,BACHILLERATO,DISTRITO_FEDERAL,UNION LIBRE,DISTRITO_FEDERAL,FEMENINO,MILPA_ALTA,JOYERIA/BISUTERIA/FUNDICION,FAMILIAR
162856,6916,600,0,6916,0,8000,62,32000,4000,CHICOLOAPAN,CHICOLOAPAN,PRIMARIA,MEXICO,VIUDO,MEXICO,FEMENINO,CHIMALHUACAN_2,ABARROTES/MISCELANEAS/PERECEDEROS,FAMILIAR
163099,15080,1200,2500,15080,0,5000,62,20000,1200,IXTAPALUCA,IXTAPALUCA,SECUNDARIA,MEXICO,UNION LIBRE,MEXICO,FEMENINO,IXTAPALUCA,VENTA_DE_ALIMENTOS,PROPIA
163109,11880,600,400,11880,0,5000,24,20000,1250,IXTAPALUCA,IXTAPALUCA,BACHILLERATO,MEXICO,SOLTERO,MEXICO,FEMENINO,IXTAPALUCA,BELLEZA/SALON/ESTETICA/BARBERIA,PROPIA
163255,10560,1650,3000,10560,1,3000,49,12000,1000,IXTAPALUCA,IXTAPALUCA,BACHILLERATO,MEXICO,UNION LIBRE,MEXICO,FEMENINO,IXTAPALUCA,JOYERIA/BISUTERIA/FUNDICION,PROPIA
163261,5600,1600,3500,5600,2,1400,42,6742,300,IXTAPALUCA,IXTAPALUCA,BACHILLERATO,MEXICO,CASADO,MEXICO,FEMENINO,IXTAPALUCA,BELLEZA/SALON/ESTETICA/BARBERIA,PROPIA
163269,8800,950,600,8800,0,6000,57,12000,2500,IXTAPALUCA,IXTAPALUCA,BACHILLERATO,MEXICO,SOLTERO,MEXICO,FEMENINO,IXTAPALUCA,JOYERIA/BISUTERIA/FUNDICION,PROPIA
162001,10000,700,2000,10000,0,2500,21,10000,600,RIO_BLANCO,RIO_BLANCO,BACHILLERATO,VERACRUZ_DE_IGNACIO_DE_LA_LLAVE,SOLTERO,VERACRUZ_DE_IGNACIO_DE_LA_LLAVE,FEMENINO,ORIZABA,VENTA_DE_ROPA,PROPIA
