ID DIST.,probs,grupo
16661,99.4,1
16671,49.01,5
16694,99.9,1
16698,99.6,1
16704,99.3,1
16720,98.5,1
16724,99.8,1
16790,63.81,3
16809,53.470000000000006,5
16827,98.6,1
16850,20.12,8
17114,99.8,1
17116,99.8,1
17127,99.7,1
17192,63.38,3
17207,54.17,5
17219,98.7,1
17332,34.01,7
17344,41.98,6
17352,53.370000000000005,5
17421,32.7,7
17441,99.5,1
17451,31.12,7
17480,99.0,1
17497,99.8,1
17501,62.85,4
17543,33.57,7
17551,99.4,1
17552,44.02,6
17558,59.58,4
17575,99.1,1
17577,17.67,9
17594,16.67,9
17601,99.6,1
17607,98.9,1
17627,8.950000000000001,10
17665,8.65,10
17706,99.2,1
17744,75.55,2
17747,53.57,5
17748,58.88,4
17751,25.04,8
17756,52.14,5
17771,99.8,1
17789,98.8,1
17807,99.5,1
17831,62.14,4
17850,99.0,1
17873,29.89,7
17903,98.7,1
17909,23.19,8
17917,80.99000000000001,2
17930,99.9,1
17931,45.14,5
17945,98.8,1
17976,98.7,1
17978,99.7,1
18019,32.51,7
18028,32.12,7
18092,71.86,3
18104,54.32,4
18135,23.66,8
18140,98.7,1
18145,98.9,1
18197,99.6,1
18226,99.4,1
18247,40.15,6
18252,99.2,1
18258,16.87,9
18274,80.09,2
18276,28.38,7
18317,79.79,2
18340,99.4,1
18364,16.87,9
18377,99.5,1
18383,53.2,5
18392,99.0,1
18403,98.5,1
18431,99.9,1
18434,46.27,5
18444,98.6,1
18485,99.3,1
18494,53.470000000000006,5
18503,55.28,4
18611,62.79,4
18655,99.7,1
18695,99.2,1
18759,61.35,4
18770,98.7,1
18772,22.51,8
18781,99.4,1
18798,17.07,9
18806,51.3,5
18818,99.4,1
18843,99.6,1
18852,99.3,1
18857,99.3,1
18860,68.17,3
18870,98.9,1
18891,99.4,1
18908,60.97,4
18922,45.14,5
18939,26.57,8
18944,80.69,2
18949,17.07,9
18951,76.83,2
18957,99.0,1
18958,99.3,1
18959,99.3,1
18966,43.31,6
18982,99.2,1
18996,98.7,1
19004,99.9,1
19005,98.7,1
19008,98.8,1
19019,64.23,3
19042,98.5,1
19057,99.1,1
19063,54.35,4
19069,99.0,1
19079,80.99000000000001,2
19116,99.7,1
19155,99.5,1
19181,75.23,2
19219,99.5,1
19220,99.8,1
19303,53.870000000000005,5
19358,99.7,1
19385,30.39,7
19389,65.92,3
19406,80.09,2
19447,7.65,10
19449,98.6,1
19468,28.24,7
19476,62.089999999999996,4
19481,17.57,9
19503,63.33,3
19505,98.9,1
19576,7.550000000000001,10
19593,61.989999999999995,4
19688,8.350000000000001,10
19706,79.79,2
19720,29.61,7
19871,60.0,4
19880,71.56,3
19909,48.39,5
19911,56.52,4
19915,99.9,1
19956,27.57,7
20004,98.7,1
20129,99.1,1
20151,45.72,5
20154,71.86,3
20173,99.1,1
20228,17.07,9
20230,98.6,1
20291,99.0,1
20313,80.19,2
20321,16.67,9
20392,98.6,1
20393,34.98,7
20420,34.68,7
20421,54.05,5
20454,99.8,1
20500,99.5,1
20513,98.9,1
20535,17.17,9
20541,98.7,1
20573,99.5,1
20606,99.9,1
20617,98.8,1
20636,99.3,1
20666,99.7,1
20682,99.2,1
20835,99.8,1
20857,63.94,3
20909,99.3,1
20920,71.86,3
21047,99.5,1
21060,98.6,1
21083,59.14,4
21111,99.7,1
21115,99.9,1
21152,58.02,4
21181,62.39,4
21199,99.1,1
21204,99.1,1
21207,99.9,1
21234,27.369999999999997,8
21236,8.25,10
21258,30.35,7
21280,99.0,1
21296,17.970000000000002,9
21310,99.0,1
21314,98.6,1
21338,52.970000000000006,5
21342,70.4,3
21372,99.6,1
21378,99.4,1
21397,17.87,9
21415,99.0,1
21456,36.18,6
21459,36.72,6
21475,38.52,6
21504,69.76,3
21528,16.87,9
21529,70.86,3
21534,46.73,5
21554,62.39,4
21582,71.64,3
21625,17.270000000000003,9
21629,99.2,1
21633,71.86,3
21656,52.970000000000006,5
21680,70.66,3
21685,98.9,1
21687,99.9,1
21698,17.67,9
21703,99.4,1
21707,17.07,9
21715,73.38,2
21738,80.49000000000001,2
21765,99.2,1
21767,70.46,3
21795,25.51,8
21807,99.6,1
21841,98.8,1
21876,16.970000000000002,9
21877,98.9,1
21880,68.13,3
21882,99.2,1
21929,99.3,1
21974,98.5,1
22042,99.8,1
22107,99.4,1
22188,52.47,5
22200,98.8,1
22213,62.79,4
22214,20.86,8
22398,53.970000000000006,5
22401,98.5,1
22423,52.970000000000006,5
22517,99.9,1
22622,16.87,9
22644,99.5,1
22646,99.7,1
22659,99.7,1
22763,99.7,1
22777,99.8,1
22796,62.69,4
22800,99.2,1
22810,99.4,1
22843,99.6,1
22846,57.14,4
22849,62.26,4
22852,98.5,1
22868,53.3,5
22900,17.07,9
22943,98.9,1
22946,39.02,6
22957,52.77,5
22964,98.6,1
22986,62.089999999999996,4
23046,71.01,3
23050,98.7,1
23082,99.7,1
23092,17.470000000000002,9
23095,7.8500000000000005,10
23121,36.85,6
23136,99.4,1
23143,17.57,9
23149,70.76,3
23162,99.1,1
23206,99.8,1
23231,99.9,1
23234,99.5,1
23237,80.59,2
23241,99.9,1
23285,99.6,1
23308,99.4,1
23349,98.9,1
