,id_distribuidor,probs,grupo,cosecha_canasta
9959,131607,0.3087,7,12.35
9960,131609,0.3468,7,12.35
9961,131613,0.6735,3,4.97
9962,131614,0.4299,6,11.87
9963,131617,0.2186,8,12.68
9964,131620,0.2019,8,12.68
9965,131621,0.989,1,1.54
9966,131629,0.7179000000000001,3,4.97
9967,131631,0.6717,3,4.97
9968,131632,0.4362,6,11.87
9969,131633,0.6291,4,7.38
9970,131634,0.2043,8,12.68
9971,131636,0.2934,7,12.35
9972,131638,0.4327,6,11.87
9973,131647,0.992,1,1.54
9974,131650,0.99,1,1.54
9975,131662,0.5024000000000001,5,10.69
9976,131671,0.994,1,1.54
9977,131681,0.993,1,1.54
9978,131704,0.996,1,1.54
9979,131716,0.989,1,1.54
9980,131728,0.7892,2,3.4
9981,131730,0.2143,8,12.68
9982,131731,0.6958,3,4.97
9983,131732,0.3012,7,12.35
9984,131733,0.3990999999999999,6,11.87
9985,131742,0.997,1,1.54
9986,131751,0.5690999999999999,4,7.38
9987,131754,0.7248,2,3.4
9988,131756,0.999,1,1.54
9989,131763,0.3778,6,11.87
9990,131767,0.6426000000000001,3,4.97
9991,131769,0.4892,5,10.69
9992,131770,0.5222,5,10.69
9993,131773,0.997,1,1.54
9994,131785,0.2421,8,12.68
9995,131786,0.4951,5,10.69
9996,131789,0.986,1,1.54
9997,131797,0.996,1,1.54
9998,131806,0.288,7,12.35
9999,131810,0.3262,7,12.35
10000,131812,0.5663,4,7.38
10001,131813,0.2365,8,12.68
10002,131814,0.5676,4,7.38
10003,131815,0.7425,2,3.4
10004,131816,0.7606999999999999,2,3.4
10005,131818,0.1667,9,20.33
10006,131826,0.992,1,1.54
10007,131837,0.997,1,1.54
10008,131846,0.6644,3,4.97
10009,131860,0.405,6,11.87
10010,131870,0.5472,4,7.38
10011,131872,0.987,1,1.54
10012,131873,0.2188,8,12.68
10013,131874,0.7834,2,3.4
10014,131875,0.2688,8,12.68
10015,131876,0.6202000000000001,4,7.38
10016,131878,0.5884,4,7.38
