folioConsulta,folioConsultaOtorgante,claveOtorgante,idCliente,dateTime
1172972910,API1686957261872,002726,101349,2023-06-16 23:14:23
1172975936,API1686957347514,002726,100542,2023-06-16 23:15:48
1172978539,API1686957421830,002726,125056,2023-06-16 23:17:02
1172972049,API1686957237610,002726,101065,2023-06-16 23:13:59
1172977700,API1686957398997,002726,113781,2023-06-16 23:16:40
1172971364,API1686957215643,002726,101050,2023-06-16 23:13:37
1172974831,API1686957315408,002726,100273,2023-06-16 23:15:17
1172977598,API1686957394590,002726,113781,2023-06-16 23:16:37
1172972163,API1686957240613,002726,101065,2023-06-16 23:14:02
1172970665,API1686957194447,002726,101063,2023-06-16 23:13:15
1172974920,API1686957318053,002726,100273,2023-06-16 23:15:19
1172975880,API1686957345910,002726,100542,2023-06-16 23:15:47
1172971267,API1686957212802,002726,101050,2023-06-16 23:13:34
1172971297,API1686957213888,002726,101050,2023-06-16 23:13:35
1172979403,API1686957446248,002726,125069,2023-06-16 23:17:27
1172974011,API1686957292370,002726,101273,2023-06-16 23:14:53
1172976821,API1686957373599,002726,100488,2023-06-16 23:16:15
1172978639,API1686957423006,002726,125056,2023-06-16 23:17:05
1172976720,API1686957370221,002726,100488,2023-06-16 23:16:11
1173012021,API1686958401992,002726,155542,2023-06-16 23:33:23
1173071086,API1686960259788,002726,155417,2023-06-17 00:04:20
1173071264,API1686960265344,002726,155417,2023-06-17 00:04:26
1173255189,API1686965613756,002726,155523,2023-06-17 01:33:38
1173758075,API1687014837820,002726,155555,2023-06-17 15:13:59
1173758049,API1687014834688,002726,155555,2023-06-17 15:13:56
1173828188,API1687020310440,002726,155558,2023-06-17 16:45:12
1173846247,API1687021492733,002726,155563,2023-06-17 17:04:56
1173846320,API1687021497573,002726,155563,2023-06-17 17:05:01
1173846217,API1687021490701,002726,155563,2023-06-17 17:04:53
1173846072,API1687021481699,002726,155563,2023-06-17 17:04:42
1173853785,API1687022022979,002726,155564,2023-06-17 17:13:44
1173846166,API1687021489223,002726,155563,2023-06-17 17:04:50
1173846109,API1687021484993,002726,155563,2023-06-17 17:04:46
1173846130,API1687021486530,002726,155563,2023-06-17 17:04:47
