tipoMensaje,leyenda,folioConsulta
2,Respuesta exitosa de otras SIC´s,1177419424
2,Respuesta exitosa de otras SIC´s,1177415228
2,Respuesta exitosa de otras SIC´s,1177419140
2,Respuesta exitosa de otras SIC´s,1177415493
2,Respuesta exitosa de otras SIC´s,1177478080
2,Respuesta exitosa de otras SIC´s,1177569638
2,Respuesta exitosa de otras SIC´s,1177568509
2,Respuesta exitosa de otras SIC´s,1177567391
2,Respuesta exitosa de otras SIC´s,1177567744
2,Respuesta exitosa de otras SIC´s,1177547839
2,Respuesta exitosa de otras SIC´s,1177566718
2,Respuesta exitosa de otras SIC´s,1177569699
2,Respuesta exitosa de otras SIC´s,1177547900
2,Respuesta exitosa de otras SIC´s,1177547757
2,Respuesta exitosa de otras SIC´s,1177567968
2,Respuesta exitosa de otras SIC´s,1177567280
2,Respuesta exitosa de otras SIC´s,1177588489
2,Respuesta exitosa de otras SIC´s,1177590909
2,Respuesta exitosa de otras SIC´s,1177578383
2,Respuesta exitosa de otras SIC´s,1177596916
2,Respuesta exitosa de otras SIC´s,1177588582
2,Respuesta exitosa de otras SIC´s,1177673220
2,Respuesta exitosa de otras SIC´s,1177673196
2,Respuesta exitosa de otras SIC´s,1177673229
2,Respuesta exitosa de otras SIC´s,1177899239
2,No se obtuvo respuesta de otras SIC´s,1177899197
2,Respuesta exitosa de otras SIC´s,1177919994
2,Respuesta exitosa de otras SIC´s,1177911542
2,Respuesta exitosa de otras SIC´s,1177919960
2,Respuesta exitosa de otras SIC´s,1177915519
2,Respuesta exitosa de otras SIC´s,1177915494
2,Respuesta exitosa de otras SIC´s,1177912113
2,Respuesta exitosa de otras SIC´s,1177919944
2,Respuesta exitosa de otras SIC´s,1177942817
2,Respuesta exitosa de otras SIC´s,1177956608
2,Respuesta exitosa de otras SIC´s,1177943309
2,Respuesta exitosa de otras SIC´s,1177962656
2,Respuesta exitosa de otras SIC´s,1177967385
2,Respuesta exitosa de otras SIC´s,1177976572
2,Respuesta exitosa de otras SIC´s,1177984036
2,Respuesta exitosa de otras SIC´s,1177984232
2,Respuesta exitosa de otras SIC´s,1177983796
2,Respuesta exitosa de otras SIC´s,1177983496
2,Respuesta exitosa de otras SIC´s,1177998812
2,Respuesta exitosa de otras SIC´s,1178013553
2,Respuesta exitosa de otras SIC´s,1178013580
2,Respuesta exitosa de otras SIC´s,1178013517
2,Respuesta exitosa de otras SIC´s,1178016732
2,Respuesta exitosa de otras SIC´s,1178016750
2,Respuesta exitosa de otras SIC´s,1178016772
2,Respuesta exitosa de otras SIC´s,1177999064
2,Respuesta exitosa de otras SIC´s,1178065767
2,Respuesta exitosa de otras SIC´s,1178087757
2,Respuesta exitosa de otras SIC´s,1178145653
2,Respuesta exitosa de otras SIC´s,1178146862
2,Respuesta exitosa de otras SIC´s,1178145600
2,Respuesta exitosa de otras SIC´s,1178247013
2,Respuesta exitosa de otras SIC´s,1178257786
2,Respuesta exitosa de otras SIC´s,1178243145
2,Respuesta exitosa de otras SIC´s,1178244509
2,Respuesta exitosa de otras SIC´s,1178262607
2,Respuesta exitosa de otras SIC´s,1178242593
2,Respuesta exitosa de otras SIC´s,1178243096
2,Respuesta exitosa de otras SIC´s,1178259483
2,Respuesta exitosa de otras SIC´s,1178249846
2,Respuesta exitosa de otras SIC´s,1178252896
2,Respuesta exitosa de otras SIC´s,1178254576
2,Respuesta exitosa de otras SIC´s,1178259133
2,Respuesta exitosa de otras SIC´s,1178264067
2,Respuesta exitosa de otras SIC´s,1178316350
2,Respuesta exitosa de otras SIC´s,1179824469
2,Respuesta exitosa de otras SIC´s,1179829044
2,Respuesta exitosa de otras SIC´s,1179829024
2,Respuesta exitosa de otras SIC´s,1179831486
2,Respuesta exitosa de otras SIC´s,1179838494
2,Respuesta exitosa de otras SIC´s,1179836691
2,Respuesta exitosa de otras SIC´s,1179836679
2,Respuesta exitosa de otras SIC´s,1179831379
2,Respuesta exitosa de otras SIC´s,1179839004
2,Respuesta exitosa de otras SIC´s,1179834568
2,Respuesta exitosa de otras SIC´s,1179833923
2,Respuesta exitosa de otras SIC´s,1179831470
2,Respuesta exitosa de otras SIC´s,1179840282
2,Respuesta exitosa de otras SIC´s,1179838048
2,Respuesta exitosa de otras SIC´s,1179841652
2,Respuesta exitosa de otras SIC´s,1179862818
2,Respuesta exitosa de otras SIC´s,1179880011
2,Respuesta exitosa de otras SIC´s,1179881490
2,Respuesta exitosa de otras SIC´s,1179880780
2,Respuesta exitosa de otras SIC´s,1179894825
2,Respuesta exitosa de otras SIC´s,1179894778
2,Respuesta exitosa de otras SIC´s,1179894834
2,Respuesta exitosa de otras SIC´s,1179894794
2,Respuesta exitosa de otras SIC´s,1179894815
2,Respuesta exitosa de otras SIC´s,1179904054
2,Respuesta exitosa de otras SIC´s,1179913990
2,Respuesta exitosa de otras SIC´s,1179904050
2,Respuesta exitosa de otras SIC´s,1179915111
2,Respuesta exitosa de otras SIC´s,1179914132
2,Respuesta exitosa de otras SIC´s,1179904053
2,Respuesta exitosa de otras SIC´s,1179921418
2,Respuesta exitosa de otras SIC´s,1179917865
2,Respuesta exitosa de otras SIC´s,1179927522
2,Respuesta exitosa de otras SIC´s,1180536903
2,Respuesta exitosa de otras SIC´s,1180536241
2,Respuesta exitosa de otras SIC´s,1180535690
2,Respuesta exitosa de otras SIC´s,1180537092
2,Respuesta exitosa de otras SIC´s,1180535863
2,Respuesta exitosa de otras SIC´s,1180536487
2,Respuesta exitosa de otras SIC´s,1180536505
2,Respuesta exitosa de otras SIC´s,1180536729
2,Respuesta exitosa de otras SIC´s,1180537919
2,Respuesta exitosa de otras SIC´s,1180535673
2,Respuesta exitosa de otras SIC´s,1180536913
2,Respuesta exitosa de otras SIC´s,1180563823
2,Respuesta exitosa de otras SIC´s,1180561819
2,Respuesta exitosa de otras SIC´s,1180559280
2,Respuesta exitosa de otras SIC´s,1180564032
2,Respuesta exitosa de otras SIC´s,1180563869
2,Respuesta exitosa de otras SIC´s,1180559256
2,Respuesta exitosa de otras SIC´s,1180562919
2,Respuesta exitosa de otras SIC´s,1180565161
2,Respuesta exitosa de otras SIC´s,1180559269
2,Respuesta exitosa de otras SIC´s,1180563157
2,Respuesta exitosa de otras SIC´s,1180555148
2,Respuesta exitosa de otras SIC´s,1180555190
2,Respuesta exitosa de otras SIC´s,1180583524
2,Respuesta exitosa de otras SIC´s,1180579616
2,Respuesta exitosa de otras SIC´s,1180582455
2,Respuesta exitosa de otras SIC´s,1180583071
2,Respuesta exitosa de otras SIC´s,1180574489
2,Respuesta exitosa de otras SIC´s,1180574518
2,Respuesta exitosa de otras SIC´s,1180579589
2,Respuesta exitosa de otras SIC´s,1180582825
2,Respuesta exitosa de otras SIC´s,1180579859
2,Respuesta exitosa de otras SIC´s,1180579633
2,Respuesta exitosa de otras SIC´s,1180603132
2,Respuesta exitosa de otras SIC´s,1180603781
2,Respuesta exitosa de otras SIC´s,1180603185
2,Respuesta exitosa de otras SIC´s,1180606100
2,Respuesta exitosa de otras SIC´s,1180604520
2,Respuesta exitosa de otras SIC´s,1180606965
2,Respuesta exitosa de otras SIC´s,1180603834
2,Respuesta exitosa de otras SIC´s,1180605259
2,Respuesta exitosa de otras SIC´s,1180603769
2,Respuesta exitosa de otras SIC´s,1180608609
2,Respuesta exitosa de otras SIC´s,1180625960
2,Respuesta exitosa de otras SIC´s,1180613566
2,Respuesta exitosa de otras SIC´s,1180622306
2,Respuesta exitosa de otras SIC´s,1180613505
2,Respuesta exitosa de otras SIC´s,1180609048
2,Respuesta exitosa de otras SIC´s,1180609007
2,Respuesta exitosa de otras SIC´s,1180619192
2,Respuesta exitosa de otras SIC´s,1180616424
2,Respuesta exitosa de otras SIC´s,1180650621
2,Respuesta exitosa de otras SIC´s,1180652040
2,Respuesta exitosa de otras SIC´s,1180646887
2,Respuesta exitosa de otras SIC´s,1180652071
