nombreScore,valor,razones,folioConsulta
FICO,420,"K0,D7,J0,E2",1180537919
FICO,620,"J0,E2,F7,E0",1180535673
FICO,470,"K0,J0,D7,E2",1180536913
FICO,520,"K0,J0,E2,M1",1180563823
FICO,476,"K0,J0,D8,D7",1180561819
FICO,471,"K0,J0,E2,D8",1180559280
FICO,431,"K0,J0,E2,F7",1180564032
FICO,520,"K0,J0,E2,M1",1180563869
FICO,471,"K0,J0,E2,D8",1180559256
FICO,526,"K0,J0,E2,D8",1180562919
FICO,433,"K0,J0,D7,E2",1180565161
FICO,471,"K0,J0,E2,D8",1180559269
FICO,395,"K0,J0,D7,E2",1180563157
FICO,458,"K0,J0,E2,D8",1180555148
FICO,458,"K0,J0,E2,D8",1180555190
FICO,580,"E2,E0,J0,G1",1180583524
FICO,455,"K0,J0,E2,D8",1180579616
FICO,481,"K0,J0,E2,D8",1180582455
FICO,489,"K0,J0,E2,D7",1180583071
FICO,482,"K0,J0,E2,D7",1180574489
FICO,482,"K0,J0,E2,D7",1180574518
FICO,455,"K0,J0,E2,D8",1180579589
FICO,449,"K0,J0,D7,D8",1180582825
FICO,604,"J0,E2,D2,M1",1180579859
FICO,455,"K0,J0,E2,D8",1180579633
FICO,483,"K0,J0,E2,D8",1180603132
FICO,408,"K0,D7,J0,E2",1180603781
FICO,483,"K0,J0,E2,D8",1180603185
FICO,491,"K0,J0,D8,E2",1180606100
FICO,532,"E2,A1,J0,E0",1180604520
FICO,543,"J0,K0,E2,D8",1180606965
FICO,408,"K0,D7,J0,E2",1180603834
FICO,415,"K0,D7,J0,E2",1180605259
FICO,408,"K0,D7,J0,E2",1180603769
FICO,408,"K0,D7,J0,E2",1180608609
FICO,528,"K0,J0,E2,M1",1180625960
FICO,406,"K0,D7,J0,E2",1180613566
FICO,458,"K0,J0,E2,D8",1180622306
FICO,452,"K0,J0,D7,E2",1180613505
FICO,483,"K0,J0,D8,E2",1180609048
FICO,483,"K0,J0,D8,E2",1180609007
FICO,389,"K0,J0,D7,E2",1180619192
FICO,390,"J0,K0,E2,D8",1180616424
FICO,469,"K0,J0,E2,D8",1180650621
FICO,424,"K0,D7,J0,E2",1180652040
FICO,571,"K0,J0,E2,P9",1180646887
FICO,424,"K0,D7,J0,E2",1180652071
FICO,523,"K0,J0,E2,M1",1180662126
FICO,522,"D2,A1,E0,E2",1180661112
FICO,411,"K0,D7,J0,E2",1180659702
FICO,470,"E2,D2,A1,E0",1180662575
FICO,411,"K0,D7,J0,E2",1180659827
FICO,523,"K0,J0,E2,M1",1180662167
FICO,470,"E2,D2,A1,E0",1180662545
FICO,414,"K0,J0,E2,D8",1180723757
FICO,463,"K0,J0,E2,D8",1180707999
FICO,497,"K0,J0,E2,D8",1180708685
FICO,461,"K0,J0,E2,D8",1180707300
FICO,438,"K0,J0,D7,E2",1180705423
FICO,505,"K0,J0,E2,D7",1180724143
FICO,450,"K0,J0,E2,P6",1180709067
FICO,459,"K0,J0,E2,P9",1180724576
FICO,461,"K0,J0,E2,D8",1180707618
FICO,414,"K0,J0,E2,D8",1180723812
FICO,427,"K0,J0,D7,E2",1180729112
FICO,427,"K0,J0,D7,E2",1180729076
FICO,651,"J0,E0,E2,G1",1180727832
FICO,659,"J0,D7,E2,E0",1180740908
FICO,659,"J0,D7,E2,E0",1180740948
FICO,447,"K0,D7,J0,E2",1180727127
FICO,656,"J0,E0,E2,G1",1180804189
FICO,453,"K0,J0,D7,E2",1180804646
