label,approval_score,applicant_id,sucursal,flag_sucursal_riesgo,grupo_riesgo_final,tasa_perdida,inf_obs
6,0.3754028057,152162,GRUPO_2,SI,6,23.86,N/A
4,0.54445703,152599,GRUPO_2,SI,4,13.97,N/A
5,0.4628927805,152905,GRUPO_2,SI,5,14.2,N/A
6,0.41183098,153140,GRUPO_2,SI,6,23.86,N/A
3,0.6584600118,143960,GRUPO_2,SI,3,8.34,N/A
3,0.621338216,155983,GRUPO_2,SI,3,8.34,N/A
4,0.5969173443,155985,GRUPO_2,SI,4,13.97,N/A
3,0.6200821692,156207,GRUPO_2,SI,3,8.34,N/A
2,0.7148049677,157523,GRUPO_2,SI,2,6.32,N/A
3,0.5173768237,154231,GRUPO_5,NO,3,8.34,N/A
4,0.5285163923,153583,GRUPO_4,SI,4,13.97,N/A
5,0.4922011576,158669,GRUPO_4,SI,5,14.2,N/A
4,0.5762883666,158697,GRUPO_4,SI,4,13.97,N/A
3,0.5397441076,152567,GRUPO_1,NO,3,8.34,N/A
3,0.6146010555,152908,GRUPO_1,NO,3,8.34,N/A
4,0.4991168138,153392,GRUPO_1,NO,4,13.97,N/A
3,0.626819284,159563,GRUPO_2,SI,3,8.34,N/A
6,0.349354965,151756,GRUPO_4,SI,6,23.86,N/A
4,0.5633618835,151757,GRUPO_4,SI,4,13.97,N/A
4,0.5298574333,152227,GRUPO_2,SI,4,13.97,N/A
1,0.7534819942,147989,GRUPO_2,SI,1,3.44,N/A
3,0.6722207895,147991,GRUPO_2,SI,3,8.34,N/A
5,0.4317586201,153448,GRUPO_2,SI,5,14.2,N/A
4,0.6000943903,158884,GRUPO_4,SI,4,13.97,N/A
2,0.6443610377,155199,GRUPO_1,NO,2,6.32,N/A
2,0.6722379719,155488,GRUPO_1,NO,2,6.32,N/A
5,0.4474482938,151641,GRUPO_4,SI,5,14.2,N/A
6,0.407062208,151885,GRUPO_4,SI,6,23.86,N/A
4,0.6140140422,152362,GRUPO_4,SI,4,13.97,N/A
3,0.5366750189,155410,GRUPO_5,NO,3,8.34,N/A
1,0.7614262967,154279,GRUPO_4,SI,1,3.44,N/A
4,0.5693615467,159680,GRUPO_4,SI,4,13.97,N/A
6,0.3350194243,157439,GRUPO_2,SI,6,23.86,N/A
6,0.3727512523,157440,GRUPO_2,SI,6,23.86,N/A
3,0.6645766849,160450,GRUPO_4,SI,3,8.34,N/A
1,0.7995551858,156833,GRUPO_2,SI,1,3.44,N/A
3,0.694255809,156850,GRUPO_2,SI,3,8.34,N/A
4,0.612802975,156863,GRUPO_2,SI,4,13.97,N/A
4,0.5632402804,152849,GRUPO_2,SI,4,13.97,N/A
4,0.5739297894,153279,GRUPO_2,SI,4,13.97,N/A
4,0.519806084,153307,GRUPO_2,SI,4,13.97,N/A
0,0.8345193216,155337,GRUPO_1,NO,0,1.2,N/A
1,0.7413289765,157928,GRUPO_1,NO,1,3.44,N/A
3,0.5753831836,157929,GRUPO_1,NO,3,8.34,N/A
4,0.4465169123,157931,GRUPO_1,NO,4,13.97,N/A
2,0.6520082682,157945,GRUPO_1,NO,2,6.32,N/A
3,0.5051518516,157979,GRUPO_1,NO,3,8.34,N/A
2,0.6276175956,157982,GRUPO_1,NO,2,6.32,N/A
3,0.6536161229,160392,GRUPO_4,SI,3,8.34,N/A
1,0.8000224606,160577,GRUPO_4,SI,1,3.44,N/A
4,0.5526079848,160668,GRUPO_2,SI,4,13.97,N/A
5,0.4502461877,160671,GRUPO_2,SI,5,14.2,N/A
3,0.6850293575,160674,GRUPO_2,SI,3,8.34,N/A
4,0.5717539852,160675,GRUPO_2,SI,4,13.97,N/A
4,0.5223990037,160728,GRUPO_2,SI,4,13.97,N/A
5,0.4317586201,160761,GRUPO_2,SI,5,14.2,N/A
3,0.6700002557,160829,GRUPO_4,SI,3,8.34,N/A
6,0.3525676008,160689,GRUPO_2,SI,6,23.86,N/A
4,0.5384886686,160687,GRUPO_2,SI,4,13.97,N/A
3,0.6808323692,159941,GRUPO_2,SI,3,8.34,N/A
4,0.5700624958,159943,GRUPO_2,SI,4,13.97,N/A
2,0.7203921539,159946,GRUPO_2,SI,2,6.32,N/A
4,0.5577553423,159949,GRUPO_2,SI,4,13.97,N/A
